Term Number	Semester	Enrollment	Course Code	Course Title	Session Type	Session Number	Session title (if used)	Session Delivery Mode	Session Location	Session length (in hours)	Max number of students that ONE session can accommodate	Number of faculty required to teach full session	Contact hour policy for faculty during session (___hrs per contact hour)	Number of support staff required to teach full session	Contact hour policy for support staff during session (___hrs per contact hour)	This session occurs during Week __ of term	This session occurs on ____.	Notes	Number of preceptors required to teach full clinical session	Contact hour policy for preceptors during session (___hrs per contact hour)	Clinical Rotation Type	Clinical Mode	Total space hours to service hour requirements	Number of sections required to service hour requirements	Total number of faculty contact hours	Total number of faculty contact hours (semesterly)	Total number of faculty contact hours (weekly)	Total number of preceptor contact hours	Total number of preceptor contact hours (semesterly)	Total number of preceptor contact hours (weekly)
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	6	Clinical	In-person	Clnical site	6	1	0.052631579	2.5	0	1	2	Friday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	240	40	12.63157895	0.043859649	0.789473684	240	0.333333333	6
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	7	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	3	Monday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	0	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	0	0	0
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	8	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	3	Tuesday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	9	Clinical	In-person	Clnical site	6	1	0.052631579	2.5	0	1	3	Friday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	240	40	12.63157895	0.043859649	0.789473684	240	0.333333333	6
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	10	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	4	Monday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	11	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	4	Tuesday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	12	Clinical	In-person	Clnical site	6	1	0.052631579	2.5	0	1	4	Friday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	0	1	Other	Precepted Experience	240	40	12.63157895	0.043859649	0.789473684	0	0	0
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	13	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	5	Monday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	0	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	0	0	0
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	14	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	5	Tuesday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	15	Clinical	In-person	Clnical site	6	1	0.052631579	2.5	0	1	5	Friday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	240	40	12.63157895	0.043859649	0.789473684	240	0.333333333	6
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	16	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	6	Monday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	17	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	6	Tuesday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	18	Clinical	In-person	Clnical site	6	1	0.052631579	2.5	0	1	6	Friday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	240	40	12.63157895	0.043859649	0.789473684	240	0.333333333	6
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	19	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	7	Monday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	20	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	7	Tuesday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	21	Clinical	In-person	Clnical site	6	1	0.052631579	2.5	0	1	7	Friday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	240	40	12.63157895	0.043859649	0.789473684	240	0.333333333	6
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	22	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	8	Monday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	23	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	8	Tuesday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	24	Clinical	In-person	Clnical site	6	1	0.052631579	2.5	0	1	8	Friday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	240	40	12.63157895	0.043859649	0.789473684	240	0.333333333	6
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	25	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	9	Monday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	26	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	9	Tuesday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	27	Clinical	In-person	Clnical site	6	1	0.052631579	2.5	0	1	9	Friday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	240	40	12.63157895	0.043859649	0.789473684	240	0.333333333	6
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	28	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	10	Monday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	29	Clinical	In-person	Clnical site	8	1	0.052631579	2.5	0	1	10	Tuesday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	320	40	16.84210526	0.058479532	1.052631579	320	0.444444444	8
Term 3	Summer	40	SUR 135	Clinical Practice II	Clinical	30	Clinical	In-person	Clnical site	6	1	0.052631579	2.5	0	1	10	Friday	M & T, 6:30a - 3:30p; F, 6:30a - 12:30p; (Days/hrs vary per census; 19.2 hrs/wk)	1	1	Other	Precepted Experience	240	40	12.63157895	0.043859649	0.789473684	240	0.333333333	6
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	1	Orientation; Components of  Communication	Online	Internet	2	20	1	2.5	0	1	1	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	2	Team Concepts	Online	Internet	2	20	1	2.5	0	1	2	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	3	Principles of Conflict Resolution	Online	Internet	2	20	1	2.5	0	1	3	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	4	Function & Necessity of Effective Mentors 	Online	Internet	2	20	1	2.5	0	1	4	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	5	Leadership Styles 	Online	Internet	2	20	1	2.5	0	1	5	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	6	Leadership Roles & Characteristics	Online	Internet	2	20	1	2.5	0	1	6	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	7	Critical Thinking 	Online	Internet	2	20	1	2.5	0	1	7	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	8	Supervision in the Healthcare Environment	Online	Internet	2	20	1	2.5	0	1	8	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	9	Manangerial Functions in the OR 	Online	Internet	2	20	1	2.5	0	1	9	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	10	Essential Skills a Good Supervisor	Online	Internet	2	20	1	2.5	0	1	10	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	11	Elements of the Teaching-Learning Process	Online	Internet	2	20	1	2.5	0	1	11	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	12	Adult Learning	Online	Internet	2	20	1	2.5	0	1	12	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	13	Elements of the Teaching-Learning Process	Online	Internet	2	20	1	2.5	0	1	13	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	14	Key Concepts Related to the Teaching-Learning Process	Online	Internet	2	20	1	2.5	0	1	14	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	15	Key Concepts Related to the Teaching-Learning Process	Online	Internet	2	20	1	2.5	0	1	15	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 211	Advanced Theoretical Concepts	Class	16	Educational Paper due	Online	Internet	2	20	1	2.5	0	1	16	Online	Spring : Online					4	2	4	0.013888889	0.25	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	1	Orientation	Online	Internet	1	20	1	2.5	0	1	1		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	2	Professional Resume, Cover & Thank You Letter	Online	Internet	1	20	1	2.5	0	1	2		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	3	Professional Resume, Cover & Thank You Letter	Online	Internet	1	20	1	2.5	0	1	3		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	4	Professional Resume, Cover & Thank You Letter	Online	Internet	1	20	1	2.5	0	1	4		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	5	Employment Applications	Online	Internet	1	20	1	2.5	0	1	5		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	6	Employment Applications	Online	Internet	1	20	1	2.5	0	1	6		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	7	Interview Techniques	Online	Internet	1	20	1	2.5	0	1	7		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	8	Interview Techniques	Online	Internet	1	20	1	2.5	0	1	8		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	9	Employability Skills	Online	Internet	1	20	1	2.5	0	1	9		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	10	Employability Skills	Online	Internet	1	20	1	2.5	0	1	10		Online					2	2	2	0.006944444	0.125	0	0	0
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	11	Responsible and Accountable Behavior 	Online	Internet	1	20	1.5	2.5	0	2	1	Wednesday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	2	2	3	0.010416667	0.1875	2	0.002777778	0.05
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	12	Responsible and Accountable Behavior 	Online	Internet	1	20	0	2.5	0	2	2	Thursday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	2	2	0	0	0	2	0.002777778	0.05
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	13	Test Anxiety	Online	Internet	1	20	1.5	2.5	0	2	3	Wednesday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	2	2	3	0.010416667	0.1875	2	0.002777778	0.05
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	14	Test Anxiety	Online	Internet	1	20	0	2.5	0	2	4	Thursday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	2	2	0	0	0	2	0.002777778	0.05
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	15	Review for Final Exam	Online	Internet	1	20	1.5	2.5	0	2	5	Wednesday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	2	2	3	0.010416667	0.1875	2	0.002777778	0.05
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	16	Final Exam	Online	Internet	1	20	0	2.5	0	2	6	Thursday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	2	2	0	0	0	2	0.002777778	0.05
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	7	Clinical	In-person	Clinical site	6	1	0.0125	2.5	0	2	7	Wednesday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	240	40	3	0.010416667	0.1875	240	0.333333333	6
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	8	Clinical	In-person	Clinical site	6	1	0	2.5	0	2	8	Thursday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	240	40	0	0	0	240	0.333333333	6
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	9	Clinical	In-person	Clinical site	6	1	0.0125	2.5	0	2	9	Wednesday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	240	40	3	0.010416667	0.1875	240	0.333333333	6
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	10	Clinical	In-person	Clinical site	6	1	0	2.5	0	2	10	Thursday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	240	40	0	0	0	240	0.333333333	6
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	11	Clinical	In-person	Clinical site	6	1	0.0125	2.5	0	2	11	Wednesday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	240	40	3	0.010416667	0.1875	240	0.333333333	6
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	12	Clinical	In-person	Clinical site	6	1	0	2.5	0	2	12	Thursday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	240	40	0	0	0	240	0.333333333	6
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	13	Clinical	In-person	Clinical site	6	1	0.0125	2.5	0	2	13	Wednesday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	240	40	3	0.010416667	0.1875	240	0.333333333	6
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	14	Clinical	In-person	Clinical site	6	1	0	2.5	0	2	14	Thursday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	240	40	0	0	0	240	0.333333333	6
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	15	Clinical	In-person	Clinical site	6	1	0.0125	2.5	0	2	15	Wednesday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	240	40	3	0.010416667	0.1875	240	0.333333333	6
Term 4	Fall	40	SUR 210	Advanced Clinical Practice	Clinical	16	Clinical	In-person	Clinical site	6	1	0	2.5	0	2	16	Thursday	SPECIAL RULE: FACULTY ONLY STAYS FOR 3 HOURS ON WEDNESDAYS, NO MATTER ENROLLMENT. W & Th,  6:30am to 3:00pm	1	1	Operating Room or Doctor's Office	Capstone / Preceptorship	240	40	0	0	0	240	0.333333333	6
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	11	Responsible and Accountable Behavior 	Online	Internet	1	20	1	2.5	0	1	11		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	12	Responsible and Accountable Behavior 	Online	Internet	1	20	1	2.5	0	1	12		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	13	Test Anxiety	Online	Internet	1	20	1	2.5	0	1	13		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	14	Test Anxiety	Online	Internet	1	20	1	2.5	0	1	14		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	15	Review for Final Exam	Online	Internet	1	20	1	2.5	0	1	15		Online					2	2	2	0.006944444	0.125	0	0	0
Term 5	Spring	40	SUR 137	Professional Success Prep	Class	16	Final Exam	Online	Internet	1	20	1	2.5	0	1	16		Online					2	2	2	0.006944444	0.125	0	0	0
